1,2,16,28,40,4
2,15,16,3,5,14
3,2,3,5,4,1
4,16,24,25,46,3
5,19,13,1,30,14
6,42,40,16,14,1
7,23,19,17,3,13
8,4,5,8,12,35
9,16,25,14,19,30
10,16,14,3,48,12
11,14,16,12,3,48
12,sabatier-Rabatel pas de choix
13,existe plus
14, existe plus
15,21,3,1,25,6
16,26,16,19,24,39
17,27,16,7,24,28
18,19,7,46,11,23
19,1,29,4,8,48
20,6,48,11,13,24
21,26,24,29,7,44
22,14,15,4,39,19
23,42,25,4,3,7
24,47,13,12,6,36
25,42,16,5,12,13
26,1,3,26,37,4
27,28,13,24,7,26
28,4,36,3,19,37
29,19,3,6,11,12
30,16,46,7,47,28
31,15,35,47,16,1
32,4,16,1,19,3
33,31,25,4,15,32
34,24,7,27,35,26
35,14,13,7,11,4
36,13,47,46,12,11
37,33,1,5,4,25
38,4,1,47,19,35
39,35,22,48,8,19
40,13,19,24,26,8
41,15,3,4,35,27
42,12,16,48,8,27
43,35,13,14,3,12
44,1,4,14,16,13
45,1,4,29,22,12
46,30,25,37,13,28
47,13,24,7,14,3
48,24,19,7,4,14
49,2,4,16,14,1
50,35,1,4,12,7
51,35,5,3,19,4
52,4,19,7,31,25
53,4,35,30,42,25
54,36,24,29,23,19
55,3,4,16,1,13
